state,contraception,abstinence,sowm,sexual_orientation,hiv_condoms,hiv_abstinence
Alabama,X,Stress,X,,X,Stress
Arizona,,Stress,,,,Stress
Arkansas,,Stress,X,,,Stress
California,X,Cover,,Inclusive,X,Cover
Colorado,X,Stress,,Inclusive,X,Cover
Connecticut,X,Cover,,Inclusive,,
Delaware,X,Stress,,Inclusive,X,Stress
District of Columbia,X,Cover,,Inclusive,,Cover
Florida,,Stress,X,Negativeβ,,Stress
Georgia,,Stress,X,,,Cover
Hawaii,X,Stress,,,X,Stress
Idaho,,Stress,,,,
Illinois,X,Stress,X,Inclusive,X,Stress
Indiana,,Stress,X,,,Stress
Iowa,,,,Negativeβ,,
Kentucky,,Stress,,Prohibited,,
Louisiana,,Stress,X,Negative,,Stress
Maine,X,Stress,,,X,Stress
Maryland,X,Cover,,Inclusive,X,Cover
Michigan,,Stress,X,,,Stress
Minnesota,,,,,,Cover
Mississippi,,Stress,X,Negative,,Stress
Missouri,,Stress,X,,,Stress
New Hampshire,,Cover,,,,Cover
New Jersey,X,Stress,,Inclusive,X,Stress
New Mexico,X,Cover,,,X,Stress
New York,,,,,,Stress
North Carolina,X,Stress,X,,X,Stress
North Dakota,,Cover,X,,,
Ohio,,Stress,X,,,Stress
Oklahoma,,Stress,,ᶲ,X,Stress
Oregon,X,Stress,,Inclusive,X,Stress
Pennsylvania,,,,,,Stress
Rhode Island,X,Stress,,Inclusive,X,Stress
South Carolina,X,Stress,X,,,Stress
South Dakota,,Cover,,,,
Tennessee,,Stress,X,,,Stress
Texas,X,Stress,X,,X,Stress
Utah,,Stress,X,,,Stress
Vermont,X,Cover,,,X,Cover
Virginia,X,Cover,X,,X,Cover
Washington,X,Stress,,Inclusive,X,Stress
West Virginia,X,Cover,,,X,Cover
Wisconsin,,Stress,X,,,Stress
