level,region,median_percentage
At some point,Midwest,54
At some point,South,37.5
At some point,West,54
At some point,Northeast,34
In elementary school,Midwest,46
In elementary school,South,45.5
In elementary school,West,51
In elementary school,Northeast,63
In secondary school,Midwest,81.5
In secondary school,South,46.5
In secondary school,West,43
In secondary school,Northeast,72
In postsecondary school,Midwest,56.5
In postsecondary school,South,58.5
In postsecondary school,West,44
In postsecondary school,Northeast,45
